Query;Closest 1;Closest 2;Closest 3
Historia medieval de las ciudades europeas;El Palacio Real: 0.5608;La Reinoldikirche: 0.6499;Mercado de Navidad de Dortmund: 0.6693
Principales destinos turÃ­sticos en Europa;Historia de Dortmund: 0.7086;Westfalenpark: 0.7672;Dortmund durante la Segunda Guerra Mundial: 0.7675
Influencia de la realeza en la cultura europea;ZoolÃ³gico de Dortmund: 0.5046;Westfalenpark: 0.5071;Dortmund durante la Segunda Guerra Mundial: 0.5302
Importancia de los parques urbanos en las ciudades;Westfalenpark: 0.4623;Mercado de Navidad de Dortmund: 0.6528;Historia de Madrid: 0.6678
GastronomÃ­a tÃ­pica en capitales europeas;Historia de Dortmund: 0.5879;Dortmund durante la Segunda Guerra Mundial: 0.6712;Museo del FÃºtbol AlemÃ¡n: 0.6746
Eventos deportivos icÃ³nicos en Europa;Historia de Dortmund: 0.7086;Westfalenpark: 0.7672;Dortmund durante la Segunda Guerra Mundial: 0.7675
Celebraciones de Navidad en ciudades europeas;Mercado de Navidad de Dortmund: 0.5090;Westfalenpark: 0.5564;El Palacio Real: 0.6056
Museos de arte importantes en Europa;Westfalenpark: 0.6073;El Palacio Real: 0.6509;U-Tower - Centro de Arte y Creatividad: 0.6536
Efectos de la Segunda Guerra Mundial en ciudades europeas;Dortmund durante la Segunda Guerra Mundial: 0.4408;Westfalenpark: 0.6266;ZoolÃ³gico de Dortmund: 0.6432
Arquitectura histÃ³rica en ciudades europeas;Historia de Dortmund: 0.7086;Dortmund durante la Segunda Guerra Mundial: 0.7675;Museo del FÃºtbol AlemÃ¡n: 0.7699
Clubes de fÃºtbol famosos y sus estadios en Europa;Real Madrid y el Estadio Santiago BernabÃ©u: 0.5959;Borussia Dortmund y el Signal Iduna Park: 0.6030;Westfalenpark: 0.6681
TransformaciÃ³n urbana y regeneraciÃ³n de espacios;U-Tower - Centro de Arte y Creatividad: 0.5482;El Palacio Real: 0.6584;Parque del Retiro: 0.6689
TradiciÃ³n cervecera en ciudades europeas;Historia de Dortmund: 0.7621;Dortmund durante la Segunda Guerra Mundial: 0.8102;Museo del FÃºtbol AlemÃ¡n: 0.8121
Mercados y comercio tradicional en Europa;Historia de Dortmund: 0.7621;Westfalenpark: 0.8099;Dortmund durante la Segunda Guerra Mundial: 0.8102
Centros de arte y creatividad en ciudades modernas;U-Tower - Centro de Arte y Creatividad: 0.5482;Westfalenpark: 0.6158;El Palacio Real: 0.6584
Actividades de ocio y entretenimiento en ciudades metropolitanas;Westfalenpark: 0.5564;El Palacio Real: 0.6056;ZoolÃ³gico de Dortmund: 0.6108
ConservaciÃ³n de la naturaleza y la vida silvestre en zonas urbanas;ZoolÃ³gico de Dortmund: 0.5056;Westfalenpark: 0.5975;Parque del Retiro: 0.6026
PlanificaciÃ³n de eventos culturales y festivales en ciudades;Westfalenpark: 0.4567;El Palacio Real: 0.5170;ZoolÃ³gico de Dortmund: 0.5233
Desarrollo del transporte y la infraestructura urbana;Nochevieja en Puerta del Sol: 0.6473;Museo del FÃºtbol AlemÃ¡n: 0.6869;Parque del Retiro: 0.6941
Impacto de la tecnologÃ­a en la vida urbana;Parque del Retiro: 0.5317;ZoolÃ³gico de Dortmund: 0.5709;Westfalenpark: 0.5731
